Date,New_Cases,New_Deaths,Value,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,SP500_Daily_Return,New_Cases_7d_avg,New_Cases_12d_avg,retail_and_recreation_percent_change_from_baseline_change,grocery_and_pharmacy_percent_change_from_baseline_change,parks_percent_change_from_baseline_change,transit_stations_percent_change_from_baseline_change,workplaces_percent_change_from_baseline_change,residential_percent_change_from_baseline_change,New_Cases_lag_1,New_Deaths_lag_1,retail_and_recreation_percent_change_from_baseline_lag1,grocery_and_pharmacy_percent_change_from_baseline_lag1,parks_percent_change_from_baseline_lag1,transit_stations_percent_change_from_baseline_lag1,workplaces_percent_change_from_baseline_lag1,residential_percent_change_from_baseline_lag1,New_Cases_lag_3,New_Deaths_lag_3,retail_and_recreation_percent_change_from_baseline_lag3,grocery_and_pharmacy_percent_change_from_baseline_lag3,parks_percent_change_from_baseline_lag3,transit_stations_percent_change_from_baseline_lag3,workplaces_percent_change_from_baseline_lag3,residential_percent_change_from_baseline_lag3,New_Cases_lag_5,New_Deaths_lag_5,retail_and_recreation_percent_change_from_baseline_lag5,grocery_and_pharmacy_percent_change_from_baseline_lag5,parks_percent_change_from_baseline_lag5,transit_stations_percent_change_from_baseline_lag5,workplaces_percent_change_from_baseline_lag5,residential_percent_change_from_baseline_lag5,New_Cases_lag_7,New_Deaths_lag_7,retail_and_recreation_percent_change_from_baseline_lag7,grocery_and_pharmacy_percent_change_from_baseline_lag7,parks_percent_change_from_baseline_lag7,transit_stations_percent_change_from_baseline_lag7,workplaces_percent_change_from_baseline_lag7,residential_percent_change_from_baseline_lag7,is_trading_day,Market_Up
2020-02-17,0,0,,6.0,0.0,28.0,-9.0,-24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
2020-02-18,0,0,3370.29,0.0,-1.0,6.0,1.0,0.0,1.0,,,,-1.0,-inf,-0.7857142857142857,-1.1111111111111112,-1.0,-0.8,0.0,0.0,6.0,0.0,28.0,-9.0,-24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,True,0
2020-02-19,0,0,3386.15,2.0,0.0,8.0,1.0,1.0,0.0,0.004705826501577137,,,inf,-1.0,0.33333333333333326,0.0,inf,-1.0,0.0,0.0,0.0,-1.0,6.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1
2020-02-20,0,0,3373.23,1.0,0.0,4.0,0.0,0.0,1.0,-0.0038155427255142094,,,-0.5,,-0.5,-1.0,-1.0,inf,0.0,0.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,28.0,-9.0,-24.0,5.0,,,,,,,,,,,,,,,,,True,0
2020-02-21,20,0,3337.75,2.0,-2.0,4.0,1.0,0.0,0.0,-0.010518108756295885,,,1.0,-inf,0.0,inf,,-1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,6.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,True,0
2020-02-24,18,0,3225.89,2.0,1.0,9.0,1.0,3.0,0.0,-0.0335135944873044,,,0.0,-1.5,1.25,0.0,inf,,20.0,0.0,2.0,-2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,28.0,-9.0,-24.0,5.0,,,,,,,,,True,0
2020-02-25,4,0,3128.21,4.0,1.0,9.0,2.0,2.0,0.0,-0.030280015747592093,6.0,6.0,1.0,0.0,0.0,1.0,-0.33333333333333337,,18.0,0.0,2.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,6.0,1.0,0.0,1.0,,,,,,,,,True,0
2020-02-26,3,0,3116.39,7.0,2.0,5.0,3.0,2.0,-1.0,-0.003778518705585654,6.428571428571429,6.428571428571429,0.75,1.0,-0.4444444444444444,0.5,0.0,-inf,4.0,0.0,4.0,1.0,9.0,2.0,2.0,0.0,20.0,0.0,2.0,-2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,28.0,-9.0,-24.0,5.0,True,0
2020-02-27,0,0,2978.76,8.0,3.0,12.0,4.0,2.0,0.0,-0.044163278665378725,6.428571428571429,6.428571428571429,0.1428571428571428,0.5,1.4,0.33333333333333326,0.0,-1.0,3.0,0.0,7.0,2.0,5.0,3.0,2.0,-1.0,18.0,0.0,2.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,6.0,1.0,0.0,1.0,True,0
2020-02-28,3,0,2954.22,8.0,3.0,10.0,5.0,2.0,-1.0,-0.008238327357692588,6.857142857142857,6.857142857142857,0.0,0.0,-0.16666666666666663,0.25,0.0,-inf,0.0,0.0,8.0,3.0,12.0,4.0,2.0,0.0,4.0,0.0,4.0,1.0,9.0,2.0,2.0,0.0,20.0,0.0,2.0,-2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,1.0,0.0,True,0
