Date,New_Cases,New_Deaths,Value
2020-02-17,0,0,
2020-02-18,0,0,3370.29
2020-02-19,0,0,3386.15
2020-02-20,0,0,3373.23
2020-02-21,20,0,3337.75
2020-02-24,18,0,3225.89
2020-02-25,4,0,3128.21
2020-02-26,3,0,3116.39
2020-02-27,0,0,2978.76
2020-02-28,3,0,2954.22
2020-03-02,25,5,3090.23
2020-03-03,24,3,3003.37
2020-03-04,34,2,3130.12
2020-03-05,63,1,3023.94
2020-03-06,98,3,2972.37
2020-03-09,163,4,2746.56
2020-03-10,290,4,2882.23
2020-03-11,307,8,2741.38
2020-03-12,1134,21,2480.64
2020-03-13,741,5,2711.02
2020-03-16,1361,22,2386.13
2020-03-17,2479,29,2529.19
2020-03-18,3765,48,2398.1
2020-03-19,5356,58,2409.39
2020-03-20,6596,77,2304.92
2020-03-23,11522,175,2237.4
2020-03-24,12923,267,2447.33
2020-03-25,14951,311,2475.56
2020-03-26,18685,389,2630.07
2020-03-27,20364,532,2541.47
2020-03-30,24020,855,2626.65
2020-03-31,26697,1087,2584.59
2020-04-01,27880,1300,2470.5
2020-04-02,28790,1205,2526.9
2020-04-03,34181,1341,2488.65
2020-04-06,31474,1576,2663.68
2020-04-07,34113,2201,2659.41
2020-04-08,32953,2283,2749.98
2020-04-09,34263,2199,2789.82
2020-04-10,34245,2271,
2020-04-13,27507,1810,2761.63
2020-04-14,29801,2532,2846.06
2020-04-15,32185,2716,2783.36
2020-04-16,30847,2293,2799.55
2020-04-17,33892,2650,2874.56
2020-04-20,28763,2024,2823.16
2020-04-21,27569,2680,2736.56
2020-04-22,31841,2466,2799.31
2020-04-23,34632,2429,2797.8
2020-04-24,34801,2026,2836.74
2020-04-27,24290,1611,2878.48
2020-04-28,27005,2374,2863.39
2020-04-29,30435,2247,2939.51
2020-04-30,31325,2242,2912.43
2020-05-01,35662,1968,2830.71
2020-05-04,24912,1479,2842.74
2020-05-05,25722,2092,2868.44
2020-05-06,25926,2503,2848.42
2020-05-07,29880,2004,2881.19
2020-05-08,29364,1652,2929.8
2020-05-11,18802,1160,2930.32
2020-05-12,24419,1858,2870.12
2020-05-13,23024,1690,2820.0
2020-05-14,27029,1697,2852.5
2020-05-15,28488,1533,2863.7
2020-05-18,23052,1033,2953.91
2020-05-19,22371,1540,2922.94
2020-05-20,23747,1391,2971.61
2020-05-21,27611,1436,2948.51
2020-05-22,25592,1279,2955.45
2020-05-25,18586,759,
2020-05-26,18946,870,2991.77
2020-05-27,21532,1426,3036.13
2020-05-28,24249,1189,3029.73
2020-05-29,25770,1143,3044.31
2020-06-01,18536,735,3055.73
2020-06-02,23985,1120,3080.82
2020-06-03,21403,1053,3122.87
2020-06-04,23327,1000,3112.35
2020-06-05,25671,902,3193.93
2020-06-08,18644,689,3232.39
2020-06-09,20494,939,3207.18
2020-06-10,22252,951,3190.14
2020-06-11,23815,843,3002.1
2020-06-12,26610,770,3041.31
2020-06-15,21340,515,3066.59
2020-06-16,27913,795,3124.74
2020-06-17,28453,843,3113.49
2020-06-18,28880,655,3115.34
2020-06-19,35772,703,3097.74
2020-06-22,32737,473,3117.86
2020-06-23,38244,825,3131.29
2020-06-24,40431,810,3050.33
